"","name","Nationality","treated","margin","pre_post"
"358","FERROGLOBE PLC","IT",0,-18.88,1
"359","INTER CARS SA","IT",0,3.665,0
"360","INTER CARS SA","IT",0,4.83,1
"361","JOHNSON ELECTRIC ASTI S.R.L.","IT",0,1.941,0
"362","JOHNSON ELECTRIC ASTI S.R.L.","IT",0,2.497,1
"363","MARELLI AUTOMOTIVE LIGHTING JIHLAVA (CZECH REPUBLIC) S.R.O.","IT",0,8.382,0
"364","MARELLI AUTOMOTIVE LIGHTING JIHLAVA (CZECH REPUBLIC) S.R.O.","IT",0,1.196,1
"365","MARINA RINALDI S.R.L.","IT",0,-4.495,0
"366","MARINA RINALDI S.R.L.","IT",0,-5.726,1
"367","NG BAILEY GROUP LIMITED","IT",0,1.152,0
"368","NG BAILEY GROUP LIMITED","IT",0,3.575,1
"369","OMR - S.P.A.","IT",0,12.206,0
"370","OMR - S.P.A.","IT",0,9.886,1
"371","PLASTICOS ESPANOLES SA","IT",0,5.555,0
"372","PLASTICOS ESPANOLES SA","IT",0,9.217,1
"373","POWER ELECTRONICS ESPANA SL","IT",0,8.443,0
"374","POWER ELECTRONICS ESPANA SL","IT",0,2.973,1
"375","SIAD MACCHINE IMPIANTI - SOCIETA' PER AZIONI","IT",0,5.47,0
"376","SIAD MACCHINE IMPIANTI - SOCIETA' PER AZIONI","IT",0,8.775,1
"377","STAEDTISCHES KRANKENHAUS KIEL GMBH","IT",0,0.067,0
"378","STAEDTISCHES KRANKENHAUS KIEL GMBH","IT",0,0.039,1
"379","TARKETT FRANCE","IT",0,2.545,0
"380","TARKETT FRANCE","IT",0,2.069,1
"381","TORAY ENGINEERING CO.,LTD.","IT",0,2.961,0
"382","TORAY ENGINEERING CO.,LTD.","IT",0,2.563,1
"383","VIDENDUM PLC","IT",0,5.821,0
"384","VIDENDUM PLC","IT",0,-2.651,1
"385","2","ES",0,2.02,0
"386","2","ES",0,-3.534,1
"387","HEP ELEKTRA D.O.O.","ES",0,NA,0
"388","HEP ELEKTRA D.O.O.","ES",0,4.646,1
"389","MURANO S.P.A.","ES",0,2.811,0
"390","MURANO S.P.A.","ES",0,5.244,1
"391","ENERGEO","ES",0,0.743,0
"392","ENERGEO","ES",0,0.126,1
"393","CAMPO DE LORCA S.C.L.","ES",0,1.61,0
"394","CAMPO DE LORCA S.C.L.","ES",0,0.213,1
"395","HONEST GROUP LTD","ES",0,NA,0
"396","HONEST GROUP LTD","ES",0,-3.117,1
